rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,RxMAC,SeqNum,GpsLon,GpsLat,CamLon,CamLat,Timestamp
1608719966722598075,,104,,1549879528,613496561,'',"""4c",104,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528613
1608719966842619895,,105,,1549879528,662694463,'',"""4c",105,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528662
1608719966982752084,,106,,1549879528,677386807,'',"""4c",106,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528677
1608719967102673053,,107,,1549879528,719324821,'',"""4c",107,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528719
1608719967242599964,,108,,1549879528,737064553,'',"""4c",108,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528737
1608719967382519960,,109,,1549879528,764594575,'',"""4c",109,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528764
1608719967512491941,,110,,1549879528,795048114,'',"""4c",110,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528795
1608719967652646064,,111,,1549879528,803654194,'',"""4c",111,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528803
1608719967762602090,,112,,1549879528,862180572,'',"""4c",112,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528862
1608719967872625112,,113,,1549879528,890896077,'',"""4c",113,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528890
1608719967982799053,,114,,1549879528,924519784,'',"""4c",114,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528924
1608719968092678070,,115,,1549879528,953287858,'',"""4c",115,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528953
1608719968232585906,,116,,1549879528,956120055,'',"""4c",116,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528956
1608719968372607946,,117,,1549879528,982617367,'',"""4c",117,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879528982
1608719968502712011,,118,,1549879529,21064648,'',"""4c",118,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529021
1608719968622669935,,119,,1549879529,69516948,'',"""4c",119,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529069
1608719968752809047,,120,,1549879529,80070121,'',"""4c",120,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529080
1608719968892558097,,121,,1549879529,99395755,'',"""4c",121,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529099
1608719969022695064,,122,,1549879529,147552107,'',"""4c",122,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529147
1608719969132644891,,123,,1549879529,187461643,'',"""4c",123,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529187
1608719969253082036,,124,,1549879529,210987990,'',"""4c",124,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529210
1608719969392637014,,125,,1549879529,213573246,'',"""4c",125,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529213
1608719969502619028,,126,,1549879529,263179031,'',"""4c",126,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529263
1608719969632613897,,127,,1549879529,270157005,'',"""4c",127,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529270
1608719969762759923,,128,,1549879529,295669990,'',"""4c",128,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529295
1608719969882647991,,129,,1549879529,327015813,'',"""4c",129,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529327
1608719969992651939,,130,,1549879529,374738449,'',"""4c",130,-2.60252594948,51.4558143616,-2.60252594948,51.4558143616,1549879529374
